Job role,Job type,Job ID,location,City,State,salary,Job description,Requirements
Senior Scrum Master,Contract,2089229-AQG,"Durham, MA",Durham,MA,$62 - $69 per Hourly,"Kforce has a client that is seeking a Senior Scrum Master in Durham, NC.

Summary:
The Senior Scrum Master will be leading teams using Agile methodologies such as Scrum, Scrum at scale and Kanban while also being able to build out sophisticated, coordinated roadmaps encouraging Agile behaviors, reinforcing practices, norms, ceremonies, and supporting the overall team performance and efficiency.

Duties Include:
* Coordinating and leading Scrum events (e.g., sprint planning, scrum of scrums, etc.)
* Senior Scrum Master will be accelerating overall squad performance, efficiency and value delivered and find opportunities to improve agile visibility and metrics, and providing coaching, training, and resources
* Ensuring all work is tracked in the backlog and accurately balanced across team members
* Partner closely with other Scrum Masters across portfolios to share ideas, practices, and lessons learned and cultivate an Agile community","* Bachelor's degree/undergraduate degree/equivalent required
* 6+ years of experience leading teams using Agile methodologies such as Scrum, Scrum at scale and Kanban while also being able to build out sophisticated, coordinated roadmaps
* Confirmed proficiency and experience with encouraging Agile behaviors, reinforcing practices, norms, ceremonies, and supporting the overall team performance and efficiency
* Ability to clearly define risks/dependencies and develop mitigation strategies through active contribution of processes and procedures
* You are highly organized and able to prioritize and multitask in a fast-paced environment
* Experience using JIRA, Jira Align, and Confluence is a plus

"
Senior Project Manager,Contract,2089417-EQG,"Atlanta, GA",Atlanta,GA,$40 - $50 per Hourly,"Kforce has a client seeking a fully remote Senior Project Manager to join their team and assist with their initiatives within their payment's organization.

Summary:
The Senior Project Manager will be managing multiple work streams at once but will primarily be focused on SPOZ retirement. This is a massive legacy payments/POS system that handles transactions that they are trying to get rid of by middle of 2024. The biggest key for this person is understanding agile methodology, strong communication, and drive assertiveness across the teams to complete delivery. The team does 2 week sprints, uses Jira Align, Smartsheets and various other tools.","* 4-5+ years of Project Management experience (no years of experience required, but need a senior and need someone very experienced and confident)
* Experience retiring applications/platforms
* Experience working in Jira, understanding stories and how to align team members
* Expertise in Agile Methodology
* Technical knowledge on how applications are built
* Ability to manage resources and connect proper cross functional teams

"
Technical Recruiter,Contract,2089416-EQG,"Miami, FL",Miami,FL,$50 - $67 per Hourly,"Kforce has a client seeking a Technical Recruiter in Miami, FL.

Responsibilities:
* Technical Recruiter develops, facilitates, and implements all phases of the recruitment process
* Assists with posting positions internally and externally
* Evaluates if additional advertising is needed and selects the appropriate methods
* Conducts intake calls with hiring managers to review position specifics and identifies candidate profile
* Implements the most effective sourcing techniques to attract top talent
* Screens and selects qualified candidates to be distributed amongst hiring teams
* Coordinates virtual and on-site interviews between candidates, hiring managers, and interviewing teams
* Corresponds with candidates throughout the selection process to ensure a smooth and positive candidate experience
* Generates and distributes various tracking reports to department heads and HR Leaders
* Supports and assists with implementation of Human Resources and Talent Acquisition initiatives at the regional and corporate level
* Identifies and drives continuous improvement to ensure deadlines are met, while maintaining quality
* Provides recruitment related administrative support which may include but is not limited to, facilitating the opening of new positions (OJRs), dissemination of applications and the creation of offer letters
* Ensures compliance with federal, state, and local employment laws and regulations, as well as company policies
* As a Technical Recruiter, you will facilitate relationships with third party recruitment/staffing firms to educate them on Lennar's culture, expectations for positions, and standards
* Collaborates with Talent Acquisition (T.A.) team on collegiate recruiting programs and career fairs
* Processes payments and relevant invoices associated with recruitment, advertising and/or events
* Performs other duties as assigned","* High School diploma or GED required; Bachelor's degree in HR strongly preferred
* Five (5) years in corporate working environment with a high-volume recruitment function required
* Prior experience with Applicant Tracking Systems (ATS) required; Experience with Workday and/or iCIMS is a plus
* Intermediate skills in Microsoft Office (Word, Excel, PowerPoint & Outlook)
* Ability to maintain strict confidentiality (i.e., compensation, job offers, promotions, etc.)
* Familiarity with specialized sourcing strategies
* Ability to prioritize effectively, multitask and handle a fast-paced work environment
* Highly organized with excellent attention to detail and strong written/verbal communication skills
* Team player with a strong work ethic
* Ability to respond to associate and candidate requests/questions in a professional and timely manner

"
Data Administrator,Contract,2089410-AQG,"Hoboken, NJ",Hoboken,NJ,$50 - $65 per Hourly,"Kforce has a client in Hoboken, NJ that is seeking a Data Administrator. The Data Administrator will support the team by running documented process to extract, ingest, clean and map data for essential business workflow & reporting data.

Responsibilities:
* Data Administrator will maintain a suite of reporting tables to support Research business needs
* Manage and run documented manual and semi-automated pipeline processes
* As a Data Administrator, you will ingest, curate, and maintain data for use in reporting
* Work with Data Product Owners to test and refine data pipeline process enhancements
* Create automation to support data management & monitoring","* Degree in Computer Science or related field or 3+ years of relevant work experience
* Demonstrates a history of improving processes, procedures
* Development: SQL, Excel, Python, Power BI, DevOps/automation, scripting
* Ability to work to deadlines

"
Lead Java Developer,Contract,2089103-AQG,"Durham, ID",Durham,ID,$56 - $63 per Hourly,"Kforce has a client in Durham, NC that is seeking a skilled Lead Java Developer to play a vital role in developing the future-state of the client's distributed, single page and transaction-based applications using Agile practices. This team provides core application development and support services for internal and external facing systems. The team works on technology-based projects in collaboration with othersystems divisions, customers, and clients.","* Bachelor's degree or higher; Investment/financial services and/or brokerage industry experience is highly desired
* Strong Java/J2EE development working on enterprise level applications
* Expert level knowledge of Spring (MVC, Boot, Security)
* Experienced with building framework for modern transactional and data processing applications
* Ability to multi-task and stay organized in a dynamic work environment while meeting deliverables
* Experience with Agile development methodologies such as SCRUM, Extreme Programming, TDD, etc.
* Strong verbal and written communication - must be able to actively engage other team members
* Understanding of Agile systems development techniques utilizing Continuous Integration (CI)/Continuous Deployment (CD) and DevOps
* Prior experience working with development teams in onshore-offshore model
* Experience or exposure to a number of the following concepts and technologies is desired
* Application development using Java EE, Spring framework
* Strong Oracle experience with the ability write Stored Procedures, Complex Queries, and Triggers
* Understanding of and experience with Micro-Services Architecture concepts and emerging patterns such as APIs, JAX-RS, REST/JSON

"
Hardware Support Engineer - CPO,Contract,2089411-TVT,"Garden City, ID",Garden City,ID,$18 - $24 per Hourly,"Kforce has a client in Garden City, ID that is seeking a Hardware Support Engineer. This position is in Boise, ID, onsite work required. The campus is located in Garden City.

Summary:
The Support Engineer III will provide best in class Engineering remote support diagnoses for external and internal customers. As trusted advisor, you should be self-motivated and will create and maintain effective customer relationships so as to ensure customer satisfaction by providing firsthand resolution to technical highly complex in nature malfunctions, should maintain knowledge of leading-edge technologies and actively contribute to the company's technical knowledge portfolio by providing information ranging from technical knowledge to methodologies based on experience gained from customer engagement.

Duties:
* The Hardware Support Engineer will be responsible for implementing part or all the technical solution to the client, in accordance with an agreed technical design and following the Remote Technical Support processes
* Remote resolve technical issues from end user's contacts and proactive notification systems
* Integration between different department in the company in order to provide End to End professional complete solution to the customers - customer service oriented
* Trigger an onsite interaction (parts and/or field dispatch) if the issue cannot be fixed remotely. Proper diagnosis and parts identification are key to ensuring proper handover to the FSE
* The Hardware Support Engineer will provide ongoing ideas on improvement in the field of remote Engineering
* Integrate technical knowledge and business understanding to create solutions for customer","* Strong analytical and remote troubleshooting skills: solid diagnosis skills with ability to remotely collect and manage information and translate customer faced symptoms into a product issue
* Team player - collaboration and one team one goal approach
* Excellent verbal and written communication skills to interact with customers and internally
* Experience in a customer facing role (onsite support, remote support or similar) will be valued
* Advanced Software and HW knowledge of computing, storage, and peripheral devices
* Has sufficient depth and breadth of technical knowledge to be individually responsible to carry out any remote technical support
* Ability to understand & analyze an issue or problem to develop & implement a corrective action plan
* Able to communicate with internal management confidently and demonstrate the professionalism of the job family
* Demonstrates the use of consulting skills including questioning, listening, development ideas
* Ability to perform while under high-pressure situations
* Owns and produces customer documentation; Ability to translate technical details into concise and easy to follow steps

"
Senior Full Stack Web Application Developer III,Contract,2089409-TVT,"Charlotte, NC",Charlotte,NC,$40 - $55 per Hourly,"Kforce has a client in Charlotte, NC that is seeking a Senior Full Stack Web Application Developer III who will be part of an agile squad to design, build, test and deploy cloud native platform and microservices/API that will be consumed by our SaaS based Customer Relationship Management (Salesforce).

Responsibilities:
* Establish coding best practices, conduct constructive peer code reviews, enable CI/CD and test and release pipelines
* Partner with architecture and external development teams to design reusable frameworks and technical solutions
* Partner with business, UX design and other technology teams to stand up platform capabilities across delivery channels of voice, chat, sms/mms and push notifications and agent desktop portals
* Conduct system demos, proof of concepts, and guide development teams to review business requirements, create designs, test plans/test cases
* Recommend optimizations for improved resiliency, efficiency and speed to market by adopting good DevOps practices
* Conduct performance testing, setup operational monitoring services and dashboard","* Experience with GraphQL in Typescript, Typescript in NodeJS and Terraform for AWS
* Demonstrated hands-on experience with distributed systems design and architecture to build scalable, reliable and resilient platforms
* Candidates qualifying for this position will have similar experience along with the skills and abilities to perform the duties mentioned
* Any relevant education and/or training will be considered a plus

"
Junior RPA Developer,Contract,2089407-EQG,"Berkeley Heights, NJ",Berkeley Heights,NJ,$50 - $60 per Hourly,"Kforce has a client in Berkeley Heights, NJ that is seeking a Junior RPA Developer.

Summary:
The Junior RPA Developer will be part of the team that the way in automation, engaging on the most strategic and complex projects and initiatives supporting Hub digital transformation delivery. The ideal candidate will be part of an Automation Team to develop and implement RPA solutions for various internal and external clients to replace existing manual workflows. The Junior RPA Developer will report into the CTO organization as part of the enterprise architecture and design team.

Key Responsibilities:
* Set up the UIPath development environments (software installation, installation of related technologies)
* Configure new processes and objects using core workflow principles that are efficient","* 1-5 years of experience with software development, with 1-2 years experience with UIPath
* Technical knowledge of robotic automation products
* Understanding of COTS and SaaS products such as Dynamics 365
* Strong critical thinking and analytical skills
* Possesses strong communication skills with the ability to present technical details to non-technical audiences
* Programming and coding skills a plus with Python, .NET, NodeJS
* Proven knowledge of Integrated development environments
* Strong client and interpersonal skills with the ability to understand the business process and create process flow diagrams for call center, quote, customer engagement, broker management, producers, and carriers

"
Senior Broadcast Engineer,Permanent,2089399-EQG,"Boca Raton, FL",Boca Raton,FL,$110000 - $130000 per Annually,"Kforce has a client that is seeking a Senior Broadcast Engineer in Boca Raton, FL.

Responsibilities:
* Senior Broadcast Engineer will oversee the planning, management, installation, and maintenance of the network's technical infrastructure including studios, transmission, digital production platforms and automated systems
* Develop, manage, and adjust capital facilities planning to anticipate business needs in conjunction with the VP of Broadcast Engineering
* Assure 24/7 technical and operational integrity for TV and digital operations with particular emphasis on error-free operations
* As a Senior Broadcast Engineer, you will configure and troubleshoot a variety of broadcast/transmission issues
* Perform routine and periodic maintenance on all systems
* Develop, in partnership with operations, concise and practical SOPs to ensure consistency between productions
* Performs well in a high pressure, deadline-driven environment
* Manage Engineering and maintenance personnel","* 5+ years of broadcast troubleshooting in a television network environment
* Experience with A/V routing, studio and control room technologies including (Cameras, LED displays, lenses, mics, IFB, PL, Intercom), editing, intercom, graphics, automation, robotics, and audio)
* Expert contemporary knowledge in Broadcast, IT, Digital, and Automation Technologies, including Design, Integration, Maintenance, and Project Management
* Extensive knowledge with Audio, Video and Data technologies
* Must possess in-depth knowledge of logistics and costs associated with procuring equipment and adherence to operating budgets
* Deep knowledge of SDI and IP technologies including NDI and Dante
* Familiarity with standing up Cloud environments and infrastructure with broadcast and production related services and systems; Both standalone and hybrid with on premises infrastructure
* Proven expertise with evaluating and recommending technology solutions
* Proficient in Video and Audio Compression technology
* Mastery of project management disciplines and processes
* Proven ability to work collaboratively with colleagues
* Ability to perform daily responsibilities swiftly, accurately, and comprehensively
* Ability to deploy, in the field to coordinate special events as it relates to production and transmission

"
AP Specialist,Contract,2089383-EQG,"Providence, RI",Providence,RI,$26 - $30 per Hourly,"Kforce has a client that is seeking an AP Specialist in Providence, RI.

Responsibilities:
* AP Specialist will monitor mailbox and send to correct divisions
* Keep corporate invoices and validate information
* Process invoices (Can be 100s a day)
* As an AP Specialist, you will research payment information for each vendor
* Assist with other ad hoc duties
* Utilize CMIC and excel","* At least 2 years of experience (the more the better)
* Basic Excel
* CMIC experience is a plus
* Kofax experience is plus
* Experience in construction industry is a plus
* High volume experience preferred

"
